id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification
1026516915991269377,2018-08-06 17:14:39,b'\xf0\x9f\x8e\x89 Introducing Android 9 Pie \xf0\x9f\x8e\x89 \nPacked with smarts and tailored to you. Learn more: https://t.co/LGeZUrz2BV\xe2\x80\xa6 https://t.co/jZSGmrRm17',4862,11863,0,2,Non-Aligned
898520640118022144,2017-08-18 12:23:08,"b'@RequestABet Celtic and Man Utd to score +2, 4+ corners each half in both games, 20+ booking points for all 4 teams'",0,2,0,0,Non-Aligned
